link_id,from_node_id,to_node_id,facility_type,directed,directed_route_id,link_type,facility_type,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id,link_type_name,from_biway,is_link
100064,1500088,1500068,bus,1,3913.2,1,service_links,3.552876860145106,1,0,14.211491650034148,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.946962 37.27244, -79.96927 37.320702)",t,Valley Metro Roanoke,0.0,3913.2:0;1;2;3;4;5,,,
100065,1500068,1500072,bus,1,3913.2,1,service_links,4.7320437332783385,1,0,28.39221507931157,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",t,Valley Metro Roanoke,1.0,3913.2:0;1;2;3;4;5,,,
100066,1500072,1500076,bus,1,3913.2,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2.0,3913.2:0;1;2;3;4;5,,,
100067,1500076,1500081,bus,1,3913.2,1,service_links,3.380777934913642,1,0,40.56919998829708,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,3.0,3913.2:0;1;2;3;4;5,,,
100068,1500081,1500092,bus,1,3913.2,1,service_links,4.8247159755520865,1,0,9.649426590311622,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.424586 37.232026)",t,Valley Metro Roanoke,4.0,3913.2:0;1;2;3;4;5,,,
100069,1500089,1500084,bus,1,3913.2,1,service_links,0.4028391493678782,1,0,12.085073772088245,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",t,Valley Metro Roanoke,0.0,3913.2:0;1;2;3;4;5;6,,,
100070,1500084,1500073,bus,1,3913.2,1,service_links,6.905623543883394,1,0,23.018723832644802,0.0,0 days 00:18:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940613 37.27535, -80.055211 37.316316)",t,Valley Metro Roanoke,1.0,3913.2:0;1;2;3;4;5;6,,,
100071,1500073,1500077,bus,1,3913.2,1,service_links,21.512653335723442,1,0,51.630333585513874,0.0,0 days 00:25:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2.0,3913.2:0;1;2;3;4;5;6,,,
100072,1500077,1500082,bus,1,3913.2,1,service_links,3.380777934913642,1,0,40.56919998829708,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,3.0,3913.2:0;1;2;3;4;5;6,,,
100073,1500082,1500079,bus,1,3913.2,1,service_links,2.916978154824848,1,0,21.877290583497643,0.0,0 days 00:08:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",t,Valley Metro Roanoke,4.0,3913.2:0;1;2;3;4;5;6,,,
100074,1500079,1500093,bus,1,3913.2,1,service_links,2.053562625618953,1,0,17.601923453106615,0.0,0 days 00:07:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",t,Valley Metro Roanoke,5.0,3913.2:0;1;2;3;4;5;6,,,
100075,1500090,1500085,bus,1,3913.2,1,service_links,0.4028391493678782,1,0,12.085073772088245,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",t,Valley Metro Roanoke,0.0,3913.2:0;1;2;3;4;5;6;7,,,
100076,1500085,1500070,bus,1,3913.2,1,service_links,3.5071217446273932,1,0,16.186694992261057,0.0,0 days 00:13:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940613 37.27535, -79.96927 37.320702)",t,Valley Metro Roanoke,1.0,3913.2:0;1;2;3;4;5;6;7,,,
100077,1500070,1500074,bus,1,3913.2,1,service_links,4.7320437332783385,1,0,28.39221507931157,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",t,Valley Metro Roanoke,2.0,3913.2:0;1;2;3;4;5;6;7,,,
100078,1500074,1500078,bus,1,3913.2,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,3.0,3913.2:0;1;2;3;4;5;6;7,,,
100079,1500078,1500083,bus,1,3913.2,1,service_links,3.380777934913642,1,0,40.56919998829708,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,4.0,3913.2:0;1;2;3;4;5;6;7,,,
100080,1500083,1500080,bus,1,3913.2,1,service_links,2.916978154824848,1,0,14.584870517359631,0.0,0 days 00:12:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",t,Valley Metro Roanoke,5.0,3913.2:0;1;2;3;4;5;6;7,,,
100081,1500080,1500094,bus,1,3913.2,1,service_links,2.053562625618953,1,0,15.40168760529297,0.0,0 days 00:08:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",t,Valley Metro Roanoke,6.0,3913.2:0;1;2;3;4;5;6;7,,,
100082,1500097,1500100,bus,1,4037.1,1,service_links,0.6715219441342777,1,0,8.058236468823102,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.425016 37.222313, -80.424586 37.232026)",t,Valley Metro Roanoke,0.0,4037.1:0;1;2;3;4;5,,,
100083,1500100,1500098,bus,1,4037.1,1,service_links,2.2475059399720507,1,0,26.96998137972668,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.409721 37.201728)",t,Valley Metro Roanoke,1.0,4037.1:0;1;2;3;4;5,,,
100084,1500098,1500099,bus,1,4037.1,1,service_links,0.30368128555462,1,0,18.220573457052915,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.409721 37.201728, -80.405477 37.198919)",t,Valley Metro Roanoke,2.0,4037.1:0;1;2;3;4;5,,,
100085,1500099,1500096,bus,1,4037.1,1,service_links,4.8958471769619205,1,0,20.982177208197268,0.0,0 days 00:14:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.405477 37.198919, -80.371633 37.133394)",t,Valley Metro Roanoke,3.0,4037.1:0;1;2;3;4;5,,,
100086,1500096,1500095,bus,1,4037.1,1,service_links,25.092362348458888,1,0,43.01545782809246,0.0,0 days 00:35:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -79.94303 37.257185)",t,Valley Metro Roanoke,4.0,4037.1:0;1;2;3;4;5,,,
100087,1500101,1500102,bus,1,4037.2,1,service_links,25.092362348458888,1,0,37.63852783996839,0.0,0 days 00:40:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.94303 37.257185, -80.371633 37.133394)",t,Valley Metro Roanoke,0.0,4037.2:0;1;2;3;4;5;6,,,
