id,from_node_id,to_node_id,transit_type,dir_flag,directed_route_id,link_type,name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id
100053,150067,150052,bus,1,3913.1,1,transit_service_links,0.7608644609372808,1,0,15.212218479252533,0,3,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5;6;7
100054,150052,150050,bus,1,3913.1,1,transit_service_links,1.630682109960204,1,0,19.564272465029443,0,5,0,0.15,4,0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5;6;7
100055,150050,150055,bus,1,3913.1,1,transit_service_links,2.916978154824848,1,0,24.99909859869888,0,7,0,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",t,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5;6;7
100056,150055,150048,bus,1,3913.1,1,transit_service_links,3.380777934913642,1,0,20.2826393455473,0,10,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5;6;7
100057,150048,150043,bus,1,3913.1,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5;6;7
100058,150043,150038,bus,1,3913.1,1,transit_service_links,4.7320437332783385,1,0,28.3894234573243,0,10,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",t,Valley Metro Roanoke,5,3913.1:0;1;2;3;4;5;6;7
100059,150038,150062,bus,1,3913.1,1,transit_service_links,3.552876860145106,1,0,9.689223744770981,0,22,0,0.15,4,0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",t,Valley Metro Roanoke,6,3913.1:0;1;2;3;4;5;6;7
100060,150086,150087,bus,1,3913.2,1,transit_service_links,0.36236256658879046,1,0,4.347481302804924,0,5,0,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,0,3913.2:0;1;2;3;4
100061,150087,150071,bus,1,3913.2,1,transit_service_links,6.6778089496537545,1,0,26.709455168270466,0,15,0,0.15,4,0,"LINESTRING (-79.946962 37.27244, -80.055211 37.316316)",t,Valley Metro Roanoke,1,3913.2:0;1;2;3;4
100062,150071,150075,bus,1,3913.2,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2,3913.2:0;1;2;3;4
100063,150075,150091,bus,1,3913.2,1,transit_service_links,7.412068496791943,1,0,17.788252862186177,0,25,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.424586 37.232026)",t,Valley Metro Roanoke,3,3913.2:0;1;2;3;4
100064,150088,150068,bus,1,3913.2,1,transit_service_links,3.552876860145106,1,0,14.210560069909096,0,15,0,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.96927 37.320702)",t,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5
100065,150068,150072,bus,1,3913.2,1,transit_service_links,4.7320437332783385,1,0,28.3894234573243,0,10,0,0.15,4,0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",t,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5
100066,150072,150076,bus,1,3913.2,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5
100067,150076,150081,bus,1,3913.2,1,transit_service_links,3.380777934913642,1,0,40.56122297436883,0,5,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5
100068,150081,150092,bus,1,3913.2,1,transit_service_links,4.8247159755520865,1,0,9.649110314093702,0,30,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.424586 37.232026)",t,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5
100069,150089,150084,bus,1,3913.2,1,transit_service_links,0.4028391493678782,1,0,12.079134913579557,0,2,0,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",t,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5;6
100070,150084,150073,bus,1,3913.2,1,transit_service_links,6.905623543883394,1,0,23.017466398144748,0,18,0,0.15,4,0,"LINESTRING (-79.940613 37.27535, -80.055211 37.316316)",t,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5;6
100071,150073,150077,bus,1,3913.2,1,transit_service_links,21.512653335723442,1,0,51.628302873621315,0,25,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5;6
100072,150077,150082,bus,1,3913.2,1,transit_service_links,3.380777934913642,1,0,40.56122297436883,0,5,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5;6
100073,150082,150079,bus,1,3913.2,1,transit_service_links,2.916978154824848,1,0,21.874601835956867,0,8,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",t,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5;6
100074,150079,150093,bus,1,3913.2,1,transit_service_links,2.053562625618953,1,0,17.59945115514029,0,7,0,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",t,Valley Metro Roanoke,5,3913.2:0;1;2;3;4;5;6
100075,150090,150085,bus,1,3913.2,1,transit_service_links,0.4028391493678782,1,0,12.079134913579557,0,2,0,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",t,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5;6;7
100076,150085,150070,bus,1,3913.2,1,transit_service_links,3.5071217446273932,1,0,16.1854707082258,0,13,0,0.15,4,0,"LINESTRING (-79.940613 37.27535, -79.96927 37.320702)",t,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5;6;7
100077,150070,150074,bus,1,3913.2,1,transit_service_links,4.7320437332783385,1,0,28.3894234573243,0,10,0,0.15,4,0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",t,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5;6;7
100078,150074,150078,bus,1,3913.2,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5;6;7
