link_id,AAWDT,mpo_vol_am,mpo_vol_md,mpo_vol_pm,mpo_vol_nt,mpo_vol_total
763,0,52,75,60,22,209
764,0,7,14,11,4,36
765,0,134,284,297,127,842
766,0,213,291,248,99,851
767,0,2756,4984,3956,1880,13576
768,14956,2435,4523,4193,1743,12894
769,0,530,1225,529,596,2880
770,0,389,1143,581,597,2710
771,0,0,0,0,0,0
772,0,3277,4914,3075,2258,13524
773,0,1843,5011,3799,2420,13073
774,0,0,0,0,0,0
775,0,0,0,0,0,0
776,0,3277,4914,3075,2258,13524
777,14956,2756,4984,3956,1880,13576
778,0,2435,4523,4193,1743,12894
779,0,1843,5011,3799,2420,13073
780,0,0,0,0,0,0
781,0,266,1045,337,523,2171
782,0,399,982,294,532,2207
783,0,2756,4984,3956,1880,13576
784,0,1843,5011,3799,2420,13073
785,0,3529,5276,3603,2258,14666
786,0,389,1143,581,597,2710
787,0,530,1225,529,596,2880
788,0,52,75,60,22,209
789,0,7,14,11,4,36
790,0,4348,14079,6527,6743,31697
791,0,228,570,612,257,1667
792,0,266,1045,337,523,2171
793,0,850,1546,704,702,3802
794,0,480,1581,941,764,3766
795,0,850,1546,704,702,3802
796,29455,5452,11969,5410,5954,28785
797,0,480,1581,941,764,3766
798,0,850,1546,704,702,3802
799,0,389,1143,581,597,2710
800,0,530,1225,529,596,2880
801,0,389,1143,581,597,2710
802,0,530,1225,529,596,2880
803,0,134,284,297,127,842
804,0,213,291,248,99,851
805,0,134,284,297,127,842
806,0,213,291,248,99,851
807,0,52,75,60,22,209
808,0,7,14,11,4,36
809,0,389,1143,581,597,2710
810,0,530,1225,529,596,2880
811,0,480,1581,941,764,3766
812,0,850,1546,704,702,3802
813,0,299,515,428,161,1403
814,0,2417,5834,4090,2557,14898
815,0,3768,5757,4037,2434,15996
816,0,134,284,297,127,842
817,2699,213,291,248,99,851
818,0,2715,6349,4518,2719,16301
819,0,3768,5757,4037,2434,15996
820,0,2715,6349,4518,2719,16301
821,0,3768,5757,4037,2434,15996
822,0,52,75,60,22,209
823,0,7,14,11,4,36
824,0,530,1225,529,596,2880
825,0,389,1143,581,597,2710
826,0,530,1225,529,596,2880
827,0,389,1143,581,597,2710
828,0,480,1581,941,764,3766
829,0,850,1546,704,702,3802
830,0,248,486,488,185,1407
831,2699,134,284,297,127,842
832,0,686,1429,842,544,3501
833,3353,512,1071,710,482,2775
834,0,52,75,60,22,209
835,0,7,14,11,4,36
836,0,530,1225,529,596,2880
837,0,389,1143,581,597,2710
838,0,389,1143,581,597,2710
839,0,530,1225,529,596,2880
840,0,480,1581,941,764,3766
841,0,850,1546,704,702,3802
842,0,547,1265,950,568,3330
843,0,686,1429,842,544,3501
844,0,480,1581,941,764,3766
845,0,850,1546,704,702,3802
846,0,389,1143,581,597,2710
847,0,530,1225,529,596,2880
848,0,389,1143,581,597,2710
849,0,530,1225,529,596,2880
850,0,547,1265,950,568,3330
851,0,686,1429,842,544,3501
852,0,389,1143,581,597,2710
853,0,530,1225,529,596,2880
854,0,870,1182,906,400,3358
855,0,2715,6349,4518,2719,16301
856,0,547,1265,950,568,3330
857,0,3384,5131,3673,2138,14326
858,0,389,1143,581,597,2710
859,0,530,1225,529,596,2880
860,0,547,1265,950,568,3330
861,0,686,1429,842,544,3501
862,0,547,1265,950,568,3330
863,0,686,1429,842,544,3501
864,0,686,1429,842,544,3501
865,0,547,1265,950,568,3330
866,0,247,557,585,251,1640
867,0,480,1581,941,764,3766
868,0,1263,2114,1120,884,5381
869,0,389,1143,581,597,2710
870,0,530,1225,529,596,2880
871,0,530,1225,529,596,2880
872,0,389,1143,581,597,2710
873,0,52,75,60,22,209
874,0,7,14,11,4,36
